name,source,gender,wikidata,type
"Nr. 9",,,,way
"Obermagdalena - Santa Maddalena di Sopra",,,,way
Oswaldweg,,,,way
"Palù dell'Angelo - Engelmoosweg",,,,way
"Parcheggio Lido via Trieste",,,,way
"Parco Francesco Petrarca - Francesco-Petrarca-Park",,,,way
"Passaggio Annette Von Menz - Annette-Von-Menz-Passage",,,,way
"Passaggio Antico Municipio - Am Alten Rathaus",,,,way
"Passaggio Antico Teatro - Am Alten Stadttheater",,,,way
"Passaggio Carla Lazzerini - Carla-Lazzerini-Weg",,,,way
"Passaggio Don Daniele Longhi - Don-Daniele-Longhi-Weg",,,,way
"Passaggio Don Giorgio Cristofolini - Don-Giorgio-Cristofolini-Passage",,,,way
"Passaggio Duomo - Dompassage",,,,way
"Passaggio Guido Anton Muss - Guido Anton Muss Gasse",,,,way
"Passaggio Luigi Valenti - Luigi-Valenti-Weg",,,,way
"Passaggio May Hofer - May-Hofer-Passage",,,,way
"Passaggio Nazim Hikmet - Nazim-Hikmet-Weg",,,,way
"Passaggio Walther - Walther-Passage",,,,way
"Passaggio dott. Perathoner - Dr.-Perathoner-Durchgang",,,,way
"Passeggiata Jordan",,,,way
"Passeggiata Lungotalvera Gries",,,,way
"Passeggiata Rio Fago - Fagenbach-promenade",,,,way
"Passeggiata Sant' Osvaldo - Oswaldpromenade",,,,way
"Passeggiata dei Castani - Köstenweg",,,,way
"Passeggiata del Guncina - Guntschnapromenade",,,,way
"Passeggiata del Virgolo - Virglpromenade",,,,way
Pedemontana,,,,way
"Piazza 4 Novembre - 4.-November-Platz",,,,way
"Piazza Adriano - Hadrianplatz",,,,way
"Piazza Dogana - Zollstangenplatz",,,,way
"Piazza Domenicani - Dominikanerplatz",,,,way
"Piazza Don Bosco",,,,way
"Piazza Don Bosco - Don-Bosco-Platz",,,,way
"Piazza Don Giuseppe Rauzi - Don-Giuseppe-Rauzi-Platz",,,,way
"Piazza Don Vittorio Franzoi - Don-Vittorio-Franzoi-Platz",,,,way
"Piazza Duomo - Domplatz",,,,way
"Piazza Fiera - Messeplatz",,,,way
"Piazza Giuseppe Verdi - Giuseppe-Verdi-Platz",,,,way
"Piazza Gries - Grieser Platz",,,,way
"Piazza L. Ziller - L.-Ziller-Platz",,,,way
"Piazza Marcella Casagrande - Marcella-Casagrande-Platz",,,,way
"Piazza Maria Montessori - Maria-Montessori-Platz",,,,way
"Piazza Nikolaus Firmian - Nikolaus-Firmian-Platz",,,,way
"Piazza Piero Siena - Piero-Siena-Platz",,,,way
"Piazza Università - Universitätsplatz",,,,way
"Piazza Walther - Walther-Platz",,,,relation+way
"Piazza Wilhelm Alexander Loew-Cadonna - Wilhelm-Alexander-Loew-Cadonna-Platz",,,,way
"Piazza del Grano - Kornplatz",,,,way
"Piazza del Municipio - Rathausplatz",,,,way
"Piazza della Dogana - Zollstangenplatz",,,,way
"Piazza della Madonna - Marienplatz",,,,way
"Piazza della Mostra - Musterplatz",,,,way
"Piazza della Parrocchia - Pfarrplatz",,,,way
"Piazza della Stazione - Bahnhofsplatz",,,,way
"Piazza della Vittoria - Siegesplatz",,,,way
"Piazza delle Erbe - Obstmarkt",,,,way
"Piazza delle Erbe - Obstplatz",,,,way
"Piazzale Alexander Langer - Alexander-Langer-Platz",,,,way
"Piazzetta Anne Frank - Anne-Frank-Platz",,,,way
"Piazzetta Charles Darwin - Charles-Darwin-Platz",,,,way
"Piazzetta Don Francesco Daz - Don-Francesco-Daz-Platz",,,,way
"Piazzetta Franz Innerhofer - Franz-Innerhofer-Platz",,,,way
"Piazzetta Hans e Sophie Scholl - Hans-und-Sophie-Scholl-Platz",,,,way
"Piazzetta I 23 del Mignone - Platz der 23 Opfer des Mignone Massakers",,,,way
"Piazzetta San Vigilio - Sankt-Vigil-Platz",,,,way
"Piazzetta Wilhelmine Grätzl von Kofler - Wilhelmine-Grätzl-von-Kofler-Platz",,,,way
"Piazzetta del Bersaglio - Schießstandplatz",,,,way
"Pié di Castello - Schlossweg",,,,way
"Piè di Virgolo - Untervirgl",,,,way
"Pista Ciclabile Valle dell'Adige - Etschtalradweg",,,,way
"Pista ciclabile Bolzano-Merano - Radweg Meran-Bozen",,,,way
"Ponte Campiglio - Kampiller Brücke",,,,way
"Ponte Druso - Drususbrücke",,,,way
"Ponte Loreto - Loretobrücke",,,,way
"Ponte Resia - Reschenbrücke",,,,way
"Ponte Roncolo - Runkelsteiner Brücke",,,,way
"Ponte Sant'Antonio - Sankt-Anton-Brücke",,,,way
"Ponte Talvera - Talferbrücke",,,,way
"Ponte Virgolo - Virglbrücke",,,,way
"Rafensteiner Weg - Via Rafenstein",,,,way
"Rentschner Straße - Via Rencio",,,,way
"Rosseg Loachhütt",,,,way
Rossegg,,,,way
"Rotonda Vittime della Cellsa - Platz der Cellsa-Opfer",,,,way
"Rotonda dell'Agruzzo - Kreisverkehr Grutzen",,,,way
